Item Name,Price,Quantity,Date
SOJAGHURT NATUR,0.95,2,17.08.2024
SULTANINEN,1.19,2,17.08.2024
ZIMT GEMAHLEN,3.69,1,17.08.2024
PADS SENSEO DECA,1.79,1,17.08.2024
RBW  5%,-0.1,1,17.08.2024
BANANE,1.79,1.06,19.08.2024
RISPENTOMATE DEU,2.19,1,19.08.2024
CHAMPIGNONS BR,1.99,1,19.08.2024
TOFFIFEE 15ER,1.19,1,19.08.2024
RBW  5%,-0.2,1,19.08.2024
SOJAGHURT NATUR,0.95,4,20.08.2024
IGLO BLATTSPINAT,2.99,1,20.08.2024
BIO KESSELCHIPS,1.99,1,20.08.2024
RBW  5%,-0.19,1,20.08.2024
SOJAGHURT NATUR,0.95,4,24.08.2024
ITAL. GEMUESEPF,2.22,1,24.08.2024
CORNFLAKES,1.69,1,24.08.2024
BIO KESSELCHIPS,1.99,1,24.08.2024
COCA COLA,1.35,1,24.08.2024
"PFAND 0,25 EURO",0.25,1,24.08.2024
RBW  5%,-0.19,1,24.08.2024
ZITRONE KL,1.79,1,27.08.2024
KARTOFFEL,2.39,1,27.08.2024
ZWIEBELN BIO,2.49,1,27.08.2024
ZUCCHINI BIO,1.39,1,27.08.2024
CHAMPIGNONS BR,1.99,1,27.08.2024
SOJAGHURT NATUR,0.95,4,27.08.2024
HAFERFLOCK. ZART,1.69,1,27.08.2024
ZIMT GEMAHLEN,3.69,1,27.08.2024
KOKOSMILCH,1.49,2,27.08.2024
STUECKIGE TOMATE,1.19,2,27.08.2024
RBW  5%,-0.67,1,27.08.2024
PAPRIKA ROT,1.39,1,30.08.2024
SOJAGHURT NATUR,0.95,4,30.08.2024
REWE JUNGER SPI.,0.89,1,30.08.2024
BIO TK BROCCOLI,1.79,1,30.08.2024
RAPSKERNOEL,1.55,1,30.08.2024
RBW  5%,-0.23,1,30.08.2024
BANANENCHIPS,1.79,1,03.09.2024
HAFERFL. KERNIG,0.79,1,03.09.2024
BIO KESSELCHIPS,1.59,3,03.09.2024
RECYCL.TOILETT.,2.45,1,03.09.2024
"BIO JOGHURT 3,8%",1.15,1,04.09.2024
SOJA NATUR UNGES,1.99,1,04.09.2024
LAUCHZW. BIO,1.59,1,04.09.2024
RISPENTOMATE DEU,1.39,1,04.09.2024
AUBERGINE,0.99,1,04.09.2024
CORNFLAKES,1.69,1,04.09.2024
SOJAGHURT NATUR,0.95,5,05.09.2024
KAKAO,2.49,1,05.09.2024
COCA COLA,1.35,1,05.09.2024
"PFAND 0,25 EURO",0.25,1,05.09.2024
SOJAGHURT NATUR,0.95,3,06.09.2024
OLIV.GRUEN O.ST.,1.79,1,06.09.2024
GETR. TOMATEN,1.39,1,06.09.2024
KOKOSMILCH,1.29,2,06.09.2024
PASSIERTE TOMATE,0.89,3,06.09.2024
COCA COLA,1.35,1,06.09.2024
"PFAND 0,25 EURO",0.25,1,06.09.2024
PFIRSICH GELB,2.19,1,07.09.2024
REWE WOKMISCHUNG,1.99,1,07.09.2024
COCA COLA,1.35,1,07.09.2024
"PFAND 0,25 EURO",0.25,1,07.09.2024
SOJAGHURT NATUR,0.95,5,10.09.2024
HAEHNCHENPFANNE,3.69,1,10.09.2024
SULTANINEN,1.19,3,10.09.2024
TOFFIFEE 15ER,1.49,1,10.09.2024
SOJAGHURT NATUR,0.95,4,11.09.2024
CORNFLAKES,1.69,1,16.09.2024
HUEHNERNUDELTOPF,3.39,1,16.09.2024
SOJAGHURT NATUR,0.95,6,16.09.2024
COCA COLA ZERO,1.29,1,16.09.2024
"PFAND 0,25 EURO",0.25,1,16.09.2024
"Coca Cola 2L 1,19",-0.1,1,16.09.2024
BANANE BIO,1.99,0.46,17.09.2024
BANANENCHIPS,2.49,1,17.09.2024
SOJAGHURT NATUR,0.95,4,17.09.2024
GERAMONT CLASSIC,2.22,1,19.09.2024
"BIO FR.MILCH 3,8",1.25,1,19.09.2024
SOJAGHURT NATUR,0.95,3,19.09.2024
SULTANINEN,1.19,2,19.09.2024
TOFFIFEE WHITE,1.49,1,19.09.2024
FA MEN,0.99,1,19.09.2024
FA,0.99,1,19.09.2024
LEERG. MW E. ST,-0.5,1,19.09.2024
LEERG. MW E. ST,-2.75,1,19.09.2024
LEERG. MW E. ST,-0.3,1,19.09.2024
"Fa Dusche 0,88",-0.22,1,19.09.2024
ZWIEBEL ROT BIO,1.79,1,20.09.2024
TOMATE RISPE,2.29,1,20.09.2024
BIO SUESSR-BUTT.,2.59,1,20.09.2024
SOJAGHURT NATUR,0.95,3,20.09.2024
KAKAO,2.99,1,20.09.2024
BIO KESSELCHIPS,1.99,1,20.09.2024
APFEL SNACKAPFEL,1.99,1,21.09.2024
INGWER BIO,7.9,0.088,21.09.2024
KNOBLAUCH BIO,1.09,1,21.09.2024
KUERB. HOKKAIDO,1.19,1.076,21.09.2024
"BIO FR.MILCH 3,8",1.25,1,21.09.2024
SOJAGHURT NATUR,0.95,2,21.09.2024
WEIZEN-VOLLKORNM,0.99,1,21.09.2024
SPEISEHIRSE,3.99,1,21.09.2024
BACKIN,1.29,1,21.09.2024
BACKAROM.ZITRONE,0.89,1,21.09.2024
HONIG FLUESSIG,6.99,1,21.09.2024
COCA COLA,1.59,1,21.09.2024
"PFAND 0,25 EURO",0.25,1,21.09.2024
Rewe Regional 5%,-0.06,1,21.09.2024
EIER FH RES 10ER,2.59,1,24.09.2024
SOJAGHURT NATUR,0.95,6,24.09.2024
SERVIETTEN 33CM,0.85,1,24.09.2024
OBLATEN,2.29,1,24.09.2024
RBW Produkte -10%,-0.83,1,24.09.2024
"BIO FR.MILCH 3,8",1.25,1,26.09.2024
SOJAGHURT NATUR,0.95,3,26.09.2024
CORNFLAKES,1.69,1,26.09.2024
SULTANINEN,1.19,3,26.09.2024
RBW Produkte -10%,-0.29,1,26.09.2024
SOJAGHURT NATUR,0.95,3,27.09.2024
HAEHNCHENPFANNE,3.69,1,27.09.2024
COCA COLA,1.59,1,27.09.2024
"PFAND 0,25 EURO",0.25,1,27.09.2024
RBW Produkte -10%,-0.65,1,27.09.2024
HAEHNCHENPFANNE,3.69,1,28.09.2024
OLIV.GRUEN O.ST.,1.79,2,28.09.2024
GETR. TOMATEN,1.79,1,28.09.2024
STUECKIGE TOMATE,1.19,2,28.09.2024
TOFFIFEE 15ER,1.49,1,28.09.2024
RBW Produkte -10%,-1.14,1,28.09.2024
BIO EIER KL. S-L,2.49,1,30.09.2024
"BIO FR.MILCH 3,8",1.25,1,30.09.2024
SOJAGHURT NATUR,0.95,3,30.09.2024
KAKAO,2.99,1,30.09.2024
COCA COLA,1.59,1,30.09.2024
"PFAND 0,25 EURO",0.25,1,30.09.2024
RBW Produkte -10%,-0.29,1,30.09.2024
KARTOFFELN BIO,2.22,1,02.10.2024
SOJAGHURT NATUR,0.95,4,02.10.2024
TEMPO TASCHENT.,1.89,1,02.10.2024
RBW Produkte -10%,-0.38,1,02.10.2024
ZWIEBEL ROT,0.75,1,04.10.2024
COCKTAILRISPE,2.49,1,04.10.2024
CHAMPIGNONS W,1.49,1,04.10.2024
RAPSKERNOEL,1.55,1,04.10.2024
BIO KESSELCHIPS,1.99,1,04.10.2024
COCA COLA,1.59,1,04.10.2024
"PFAND 0,25 EURO",0.25,1,04.10.2024
BLATTSPINAT,2.39,1,05.10.2024
ROTE LINSEN,2.29,1,05.10.2024
KOKOSMILCH,1.29,2,05.10.2024
COCA COLA,1.59,1,05.10.2024
"PFAND 0,25 EURO",0.25,1,05.10.2024
RBW Produkte -10%,-0.26,1,05.10.2024
BANANENCHIPS,2.49,1,07.10.2024
HAFERFL. ZART,0.79,2,07.10.2024
SULTANINEN,1.19,3,07.10.2024
HUEHNERNUDELTOPF,1.99,1,07.10.2024
LINSENCHIPS,0.99,1,07.10.2024
RBW Produkte -5%,-0.05,1,07.10.2024
SOJA NATUR UNGES,1.49,3,08.10.2024
MY HAPPY PLACE,2.99,1,08.10.2024
BE HAPPY TEE,2.99,1,08.10.2024
APF. SANTANA BIO,3.49,1,09.10.2024
"BIO FR.MILCH 3,8",1.25,1,09.10.2024
COCA COLA,1.59,1,09.10.2024
"PFAND 0,25 EURO",0.25,1,09.10.2024
SOYADESS.VANILLE,1.49,1,10.10.2024
SOYADESS.SCHOKO,1.49,1,10.10.2024
SOJA NATUR UNGES,1.49,3,10.10.2024
CORNFLAKES,1.69,1,10.10.2024
COCA COLA,1.59,1,10.10.2024
"PFAND 0,25 EURO",0.25,1,10.10.2024
SOJAGHURT NATUR,0.95,2,11.10.2024
KOKOSMILCH,1.29,2,11.10.2024
BIO KOKOSMILCH,1.29,2,11.10.2024
BIO KESSELCHIPS,1.99,1,11.10.2024
RBW Produkte -5%,-0.22,1,11.10.2024
SOJAGHURT NATUR,0.95,2,12.10.2024
BLATTSPINAT,2.39,1,12.10.2024
COCA COLA,1.59,1,12.10.2024
"PFAND 0,25 EURO",0.25,1,12.10.2024
RBW Produkte -5%,-0.1,1,12.10.2024
KAROTTE BIO,0.99,1,14.10.2024
SOJAGHURT NATUR,0.95,2,14.10.2024
HAEHNCHEN PAELLA,2.69,1,14.10.2024
COCA COLA ZERO,1.19,1,14.10.2024
"PFAND 0,25 EURO",0.25,1,14.10.2024
RBW Produkte -5%,-0.1,1,14.10.2024
"Frosta Gerichte 2,49",-0.2,1,14.10.2024
BIO CAMEMBERT,1.99,1,16.10.2024
SOJAGURT NATUR,1.39,3,16.10.2024
"BIO FR.MILCH 3,8",1.25,1,17.10.2024
SOJAGHURT NATUR,0.95,1,17.10.2024
SOJAGURT NATUR,1.39,1,17.10.2024
